X,Y,Name,Descricao,icon_url
-49.11665,-26.92125,I05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-49.086361,-26.915895,M04,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-49.083379,-26.884375,M06,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-49.075035,-26.877026,V03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.825336,-7.127974,A01,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.826238,-7.118457,A02,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.827573,-7.112979,A03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.830011,-7.108581,A04,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.839067,-7.103211,A05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.834856,-7.102608,A06,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.843825,-7.098644,A07,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.837627,-7.095566,A08,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.838867,-7.084825,A09,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.840174,-7.075549,A10,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.833246,-7.074913,A11,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.84566,-7.064348,A12,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.839036,-7.117917,A13,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.839085,-7.122078,A14,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.849012,-7.114714,A15,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.853095,-7.121535,A16,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.861346,-7.11837,A17,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.861243,-7.123495,A18,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.863695,-7.128709,A19,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.875485,-7.119427,A20,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-34.877926,-7.123708,A21,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
